"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-16","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","26",",,7","15",",,7","24",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-17","0.03",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","39",",,7","23",",,7","34",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-18","0.02",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","35",",,7","16",",,7","17",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-19","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","29",",,7","17",",,7","23",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-20","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","38",",,7","23",",,7","37",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-21","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","51",",,7","29",",,7","31",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-22","0.01",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","46",",,7","31",",,7","39",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-23","0.02",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","53",",,7","35",",,7","51",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-24","0.03",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","55",",,7","39",",,7","40",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-25","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-26","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-27","0.45",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","37",",,7","36",",,7","36",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-28","0.17",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","49",",,7","36",",,7","43",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-29","0.10",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","48",",,7","36",",,7","37",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-30","0.20",",,7,0800","0.8",",,7,0800","1.0",",,7,0800","41",",,7","27",",,7","28",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-31","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","34",",,7","16",",,7","18",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-01","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","36",",,7","18",",,7","34",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-02",,,,,,,"40",",,7","26",",,7","27",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-03","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","28",",,7","13",",,7","17",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-04","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","37",",,7","17",",,7","35",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-05","1.50",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","47",",,7","35",",,7","36",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-06","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","48",",,7","20",",,7","26",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-07","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","36",",,7","23",",,7","29",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-08","1.10",",,7,0800",,,"0.0",",,7,0800","48",",,7","20",",,7","27",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-09","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","31",",,7","19",",,7","22",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-10","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","40",",,7","21",",,7","40",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-11","0.80",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","52",",,7","13",",,7","47",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-12","0.83",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","55",",,7","26",",,7","41",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-13","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","41",",,7",,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-14","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","36",",,7",,,"35",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-15","0.20",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","42",",,7",,,"39",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-16","0.10",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","55",",,7","37",",,7","53",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-17","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","57",",,7","27",",,7","29",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-18","0.45",",,7,0800","3.2",",,7,0800","3.0",",,7,0800","37",",,7","28",",,7","33",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-19","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","43",",,7","28",",,7","36",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-20","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","50",",,7","28",",,7","38",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-21","0.10",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","65",",,7","37",",,7","48",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-22","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","72",",,7","42",",,7","43",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-23","0.10",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","43",",,7","32",",,7","35",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-24","0.22",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","47",",,7","34",",,7","47",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-25","0.75",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","54",",,7","40",",,7","41",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-02-26","0.25",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","43",",,7","38",",,7","40",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-01","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","54",",,7","38",",,7","48",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-02","2.34",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","59",",,7","36",",,7","36",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-03","0.49",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","37",",,7","33",",,7","37",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-04","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","43",",,7","37",",,7","38",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-05","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-06","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-10","0.00",",,7,0800","0.0",",,7,0800",,,,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-11","0.00",",,7,0800","0.0",",,7,0800",,,,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-12","0.00",",,7,0800","0.0",",,7,0800",,,,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-15","0.00",",,7,0800","0.0",",,7,0800",,,,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-16","0.00",",,7,0800","0.0",",,7,0800",,,,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-17","0.00",",,7,0800","0.0",",,7,0800",,,,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-18","0.00",",,7,0800","0.0",",,7,0800",,,,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-19","0.00",",,7,0800","0.0",",,7,0800",,,,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-20","0.00",",,7,0800","0.0",",,7,0800",,,,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-22","0.04",",,7,0800","1.0",",,7,0800","10.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-23","0.08",",,7,0800",,,"2.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-24","0.00",",,7,0800","0.0",",,7,0800","2.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-25","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-26","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-27","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-28","0.02",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-29","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-30","0.03",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-03-31","0.30",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-01","0.03",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-02","0.30",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-03","0.10",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-04","0.20",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-05","0.55",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-06","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-07","0.11",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","41",",,7",,,"39",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-08","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","44",",,7",,,"32",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-09","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-10","0.10",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","45",",,7",,,"37",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-11","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","46",",,7","28",",,7","32",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-12","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","47",",,7",,,"30",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-13","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","63",",,7",,,"60",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-14","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","76",",,7","49",",,7","55",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-15","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","74",",,7","39",",,7","39",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-16","0.20",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","43",",,7","36",",,7","42",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-17","2.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","59",",,7","41",",,7","51",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-18","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","51",",,7","35",",,7","37",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-19","0.10",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","51",",,7","37",",,7","39",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-20","0.06",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","43",",,7","34",",,7","37",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-21","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","50",",,7","32",",,7","39",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-22","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","59",",,7",,,"46",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-23","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","61",",,7",,,"45",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-24","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-25","0.60",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-26","0.47",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-27","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-28","0.20",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-29","0.10",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-04-30","0.30",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-01","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-02","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-03","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-04","0.10",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-05","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-06","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-07","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-08","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-09","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-10","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-11","0.03",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-12","0.09",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-13","0.12",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-14","0.21",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-15","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","65",",,7","49",",,7","51",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-16","0.60",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","79",",,7","51",",,7","65",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-17","0.81",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","65",",,7","52",",,7","55",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-18","0.02",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","69",",,7","55",",,7","59",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-19","0.18",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","62",",,7","47",",,7","49",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-20","0.53",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","62",",,7","48",",,7","60",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-21","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","81",",,7","53",",,7","60",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-22","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","68",",,7",,,"63",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-23","0.20",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","68",",,7",,,"59",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-24","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","79",",,7",,,"66",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-25","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","71",",,7",,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-26","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","73",",,7",,,"73",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-27","0.16",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","85",",,7",,,"60",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-28","0.42",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","60",",,7","51",",,7","53",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-29","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","68",",,7","53",",,7","65",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-30","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","85",",,7","60",",,7","64",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-05-31","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","75",",,7","54",",,7","62",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-06-01","0.25",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","70",",,7","62",",,7","65",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-06-02","0.50",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","76",",,7","65",",,7","73",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-06-03","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","85",",,7","56",",,7","58",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-06-04","0.25",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","64",",,7","48",",,7","50",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-06-05","0.02",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","66",",,7","50",",,7","63",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-06-06","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","73",",,7","51",",,7","58",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-06-07","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","70",",,7","55",",,7","58",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-06-08","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","68",",,7","57",",,7","66",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-06-09","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","80",",,7","60",",,7","67",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-06-10","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","78",",,7",,,"65",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-06-11","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","70",",,7",,,"58",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-06-12","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","69",",,7",,,"59",",,7,0800"
